time_s,freq_baseline_hz,freq_agc_hz
0.0,50.0,50.0
0.010001666944490749,50.0,50.0
0.020003333888981498,50.0,50.0
0.030005000833472247,50.0,50.0
0.040006667777962995,50.0,50.0
0.050008334722453744,50.0,50.0
0.06001000166694449,50.0,50.0
0.07001166861143523,50.0,50.0
0.08001333555592599,50.0,50.0
0.09001500250041675,50.0,50.0
0.10001666944490749,50.0,50.0
0.11001833638939823,50.0,50.0
0.12002000333388899,50.0,50.0
0.13002167027837974,50.0,50.0
0.14002333722287047,50.0,50.0
0.15002500416736123,50.0,50.0
0.16002667111185198,50.0,50.0
0.17002833805634274,50.0,50.0
0.1800300050008335,50.0,50.0
0.19003167194532422,50.0,50.0
0.20003333888981498,50.0,50.0
0.21003500583430573,50.0,50.0
0.22003667277879646,50.0,50.0
0.23003833972328722,50.0,50.0
0.24004000666777797,50.0,50.0
0.2500416736122687,50.0,50.0
0.2600433405567595,50.0,50.0
0.2700450075012502,50.0,50.0
0.28004667444574094,50.0,50.0
0.2900483413902317,50.0,50.0
0.30005000833472245,50.0,50.0
0.31005167527921323,50.0,50.0
0.32005334222370396,50.0,50.0
0.3300550091681947,50.0,50.0
0.3400566761126855,50.0,50.0
0.3500583430571762,50.0,50.0
0.360060010001667,50.0,50.0
0.3700616769461577,50.0,50.0
0.38006334389064844,50.0,50.0
0.3900650108351392,50.0,50.0
0.40006667777962995,50.0,50.0
0.4100683447241207,50.0,50.0
0.42007001166861146,50.0,50.0
0.4300716786131022,50.0,50.0
0.4400733455575929,50.0,50.0
0.4500750125020837,50.0,50.0
0.46007667944657443,50.0,50.0
0.4700783463910652,50.0,50.0
0.48008001333555594,50.0,50.0
0.49008168028004667,50.0,50.0
0.5000833472245374,50.0,50.0
0.5100850141690282,50.0,50.0
0.520086681113519,50.0,50.0
0.5300883480580096,50.0,50.0
0.5400900150025004,50.0,50.0
0.5500916819469912,50.0,50.0
0.5600933488914819,50.0,50.0
0.5700950158359727,50.0,50.0
0.5800966827804634,50.0,50.0
0.5900983497249542,50.0,50.0
0.6001000166694449,50.0,50.0
0.6101016836139357,50.0,50.0
0.6201033505584265,50.0,50.0
0.6301050175029171,50.0,50.0
0.6401066844474079,50.0,50.0
0.6501083513918987,50.0,50.0
0.6601100183363894,50.0,50.0
0.6701116852808802,50.0,50.0
0.680113352225371,50.0,50.0
0.6901150191698616,50.0,50.0
0.7001166861143524,50.0,50.0
0.7101183530588432,50.0,50.0
0.720120020003334,50.0,50.0
0.7301216869478246,50.0,50.0
0.7401233538923154,50.0,50.0
0.7501250208368062,50.0,50.0
0.7601266877812969,50.0,50.0
0.7701283547257877,50.0,50.0
0.7801300216702785,50.0,50.0
0.7901316886147691,50.0,50.0
0.8001333555592599,50.0,50.0
0.8101350225037507,50.0,50.0
0.8201366894482414,50.0,50.0
0.8301383563927321,50.0,50.0
0.8401400233372229,50.0,50.0
0.8501416902817136,50.0,50.0
0.8601433572262044,50.0,50.0
0.8701450241706952,50.0,50.0
0.8801466911151858,50.0,50.0
0.8901483580596766,50.0,50.0
0.9001500250041674,50.0,50.0
0.9101516919486582,50.0,50.0
0.9201533588931489,50.0,50.0
0.9301550258376396,50.0,50.0
0.9401566927821304,50.0,50.0
0.9501583597266211,50.0,50.0
0.9601600266711119,50.0,50.0
0.9701616936156027,50.0,50.0
0.9801633605600933,50.0,50.0
0.9901650275045841,50.0,50.0
1.0001666944490748,50.0,50.0
1.0101683613935657,50.0,50.0
1.0201700283380564,50.0,50.0
1.030171695282547,50.0,50.0
1.040173362227038,50.0,50.0
1.0501750291715286,50.0,50.0
1.0601766961160193,50.0,50.0
1.0701783630605102,50.0,50.0
1.0801800300050008,50.0,50.0
1.0901816969494915,50.0,50.0
1.1001833638939824,50.0,50.0
1.110185030838473,50.0,50.0
1.1201866977829638,50.0,50.0
1.1301883647274547,50.0,50.0
1.1401900316719453,50.0,50.0
1.1501916986164362,50.0,50.0
1.160193365560927,50.0,50.0
1.1701950325054176,50.0,50.0
1.1801966994499085,50.0,50.0
1.1901983663943991,50.0,50.0
1.2002000333388898,50.0,50.0
1.2102017002833807,50.0,50.0
1.2202033672278714,50.0,50.0
1.230205034172362,50.0,50.0
1.240206701116853,50.0,50.0
1.2502083680613436,50.0,50.0
1.2602100350058343,50.0,50.0
1.2702117019503252,50.0,50.0
1.2802133688948159,50.0,50.0
1.2902150358393065,50.0,50.0
1.3002167027837974,50.0,50.0
1.310218369728288,50.0,50.0
1.3202200366727788,50.0,50.0
1.3302217036172697,50.0,50.0
1.3402233705617603,50.0,50.0
1.350225037506251,50.0,50.0
1.360226704450742,50.0,50.0
1.3702283713952326,50.0,50.0
1.3802300383397232,50.0,50.0
1.3902317052842141,50.0,50.0
1.4002333722287048,50.0,50.0
1.4102350391731955,50.0,50.0
1.4202367061176864,50.0,50.0
1.430238373062177,50.0,50.0
1.440240040006668,50.0,50.0
1.4502417069511586,50.0,50.0
1.4602433738956493,50.0,50.0
1.4702450408401402,50.0,50.0
1.4802467077846309,50.0,50.0
1.4902483747291215,50.0,50.0
1.5002500416736124,50.0,50.0
1.510251708618103,50.0,50.0
1.5202533755625938,50.0,50.0
1.5302550425070847,50.0,50.0
1.5402567094515753,50.0,50.0
1.550258376396066,50.0,50.0
1.560260043340557,50.0,50.0
1.5702617102850476,50.0,50.0
1.5802633772295382,50.0,50.0
1.5902650441740291,50.0,50.0
1.6002667111185198,50.0,50.0
1.6102683780630105,50.0,50.0
1.6202700450075014,50.0,50.0
1.630271711951992,50.0,50.0
1.6402733788964827,50.0,50.0
1.6502750458409736,50.0,50.0
1.6602767127854643,50.0,50.0
1.670278379729955,50.0,50.0
1.6802800466744459,50.0,50.0
1.6902817136189365,50.0,50.0
1.7002833805634272,50.0,50.0
1.710285047507918,50.0,50.0
1.7202867144524088,50.0,50.0
1.7302883813968994,50.0,50.0
1.7402900483413903,50.0,50.0
1.750291715285881,50.0,50.0
1.7602933822303717,50.0,50.0
1.7702950491748626,50.0,50.0
1.7802967161193533,50.0,50.0
1.7902983830638441,50.0,50.0
1.8003000500083348,50.0,50.0
1.8103017169528255,50.0,50.0
1.8203033838973164,50.0,50.0
1.830305050841807,50.0,50.0
1.8403067177862977,50.0,50.0
1.8503083847307886,50.0,50.0
1.8603100516752793,50.0,50.0
1.87031171861977,50.0,50.0
1.8803133855642609,50.0,50.0
1.8903150525087515,50.0,50.0
1.9003167194532422,50.0,50.0
1.910318386397733,50.0,50.0
1.9203200533422238,50.0,50.0
1.9303217202867144,50.0,50.0
1.9403233872312053,50.0,50.0
1.950325054175696,50.0,50.0
1.9603267211201867,50.0,50.0
1.9703283880646776,50.0,50.0
1.9803300550091683,50.0,50.0
1.990331721953659,50.0,50.0
2.0003333888981496,50.0,50.0
2.0103350558426407,50.0,50.0
2.0203367227871314,50.0,50.0
2.030338389731622,50.0,50.0
2.0403400566761127,50.0,50.0
2.0503417236206034,50.0,50.0
2.060343390565094,50.0,50.0
2.070345057509585,50.0,50.0
2.080346724454076,50.0,50.0
2.0903483913985665,50.0,50.0
2.100350058343057,50.0,50.0
2.110351725287548,50.0,50.0
2.1203533922320386,50.0,50.0
2.1303550591765297,50.0,50.0
2.1403567261210203,50.0,50.0
2.150358393065511,50.0,50.0
2.1603600600100017,50.0,50.0
2.1703617269544924,50.0,50.0
2.180363393898983,50.0,50.0
2.190365060843474,50.0,50.0
2.200366727787965,50.0,50.0
2.2103683947324555,50.0,50.0
2.220370061676946,50.0,50.0
2.230371728621437,50.0,50.0
2.2403733955659275,50.0,50.0
2.2503750625104186,50.0,50.0
2.2603767294549093,50.0,50.0
2.2703783963994,50.0,50.0
2.2803800633438907,50.0,50.0
2.2903817302883813,50.0,50.0
2.3003833972328724,50.0,50.0
2.310385064177363,50.0,50.0
2.320386731121854,50.0,50.0
2.3303883980663445,50.0,50.0
2.340390065010835,50.0,50.0
2.350391731955326,50.0,50.0
2.360393398899817,50.0,50.0
2.3703950658443076,50.0,50.0
2.3803967327887983,50.0,50.0
2.390398399733289,50.0,50.0
2.4004000666777796,50.0,50.0
2.4104017336222703,50.0,50.0
2.4204034005667614,50.0,50.0
2.430405067511252,50.0,50.0
2.4404067344557427,50.0,50.0
2.4504084014002334,50.0,50.0
2.460410068344724,50.0,50.0
2.4704117352892148,50.0,50.0
2.480413402233706,50.0,50.0
2.4904150691781965,50.0,50.0
2.5004167361226872,50.0,50.0
2.510418403067178,50.0,50.0
2.5204200700116686,50.0,50.0
2.5304217369561592,50.0,50.0
2.5404234039006504,50.0,50.0
2.550425070845141,50.0,50.0
2.5604267377896317,50.0,50.0
2.5704284047341224,50.0,50.0
2.580430071678613,50.0,50.0
2.590431738623104,50.0,50.0
2.600433405567595,50.0,50.0
2.6104350725120855,50.0,50.0
2.620436739456576,50.0,50.0
2.630438406401067,50.0,50.0
2.6404400733455575,50.0,50.0
2.6504417402900486,50.0,50.0
2.6604434072345393,50.0,50.0
2.67044507417903,50.0,50.0
2.6804467411235207,50.0,50.0
2.6904484080680113,50.0,50.0
2.700450075012502,50.0,50.0
2.710451741956993,50.0,50.0
2.720453408901484,50.0,50.0
2.7304550758459745,50.0,50.0
2.740456742790465,50.0,50.0
2.750458409734956,50.0,50.0
2.7604600766794465,50.0,50.0
2.7704617436239376,50.0,50.0
2.7804634105684283,50.0,50.0
2.790465077512919,50.0,50.0
2.8004667444574096,50.0,50.0
2.8104684114019003,50.0,50.0
2.820470078346391,50.0,50.0
2.830471745290882,50.0,50.0
2.8404734122353728,50.0,50.0
2.8504750791798634,50.0,50.0
2.860476746124354,50.0,50.0
2.8704784130688448,50.0,50.0
2.880480080013336,50.0,50.0
2.8904817469578266,50.0,50.0
2.9004834139023172,50.0,50.0
2.910485080846808,50.0,50.0
2.9204867477912986,50.0,50.0
2.9304884147357892,50.0,50.0
2.9404900816802804,50.0,50.0
2.950491748624771,50.0,50.0
2.9604934155692617,50.0,50.0
2.9704950825137524,50.0,50.0
2.980496749458243,50.0,50.0
2.9904984164027337,50.0,50.0
3.000500083347225,50.0,50.0
3.0105017502917155,50.0,50.0
3.020503417236206,50.0,50.0
3.030505084180697,50.0,50.0
3.0405067511251875,50.0,50.0
3.050508418069678,50.0,50.0
3.0605100850141693,50.0,50.0
3.07051175195866,50.0,50.0
